year,disastertype_drought,disastertype_earthquake,disastertype_extreme temperature ,disastertype_flood,disastertype_landslide,disastertype_mass movement (dry),disastertype_storm,disastertype_volcanic activity,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1998,11,16,7,51,14,0,24,2,9.522666666666668,0.07391666666666666,15.169416666666665,0.10475,3.9491666666666667,0.12491666666666666,15.826,0.063
1999,15,18,4,63,8,0,27,4,9.285083333333334,0.07925,14.982750000000001,0.09675,3.662333333333333,0.1135,15.600333333333333,0.06333333333333334
2000,24,19,28,68,18,1,39,4,9.201166666666667,0.0835,14.898833333333334,0.12266666666666666,3.5818333333333334,0.11541666666666667,15.610666666666667,0.0635
2001,20,15,19,78,12,0,41,5,9.414583333333333,0.08741666666666666,15.159166666666666,0.10375000000000001,3.7406666666666664,0.12008333333333332,15.7675,0.06458333333333334
2002,23,20,13,86,15,1,47,6,9.570416666666667,0.07241666666666667,15.312333333333333,0.12408333333333332,3.8645833333333335,0.11716666666666668,15.829166666666667,0.06291666666666666
2003,13,16,23,79,15,0,32,2,9.525583333333334,0.09066666666666667,15.249333333333333,0.11375,3.8515833333333336,0.12616666666666668,15.826583333333334,0.06433333333333334
2004,10,27,16,66,10,1,43,2,9.324583333333333,0.08341666666666668,15.018,0.10908333333333332,3.6644166666666664,0.10591666666666666,15.757249999999999,0.06125
2005,17,15,24,84,10,0,52,7,9.700916666666666,0.07516666666666667,15.349833333333335,0.11308333333333333,4.113833333333333,0.11208333333333333,15.879249999999999,0.06083333333333333
2006,8,13,24,87,11,1,26,9,9.5325,0.09000000000000001,15.262,0.14958333333333332,3.8648333333333333,0.13833333333333334,15.8135,0.061
2007,10,15,23,86,7,0,40,5,9.732166666666666,0.08950000000000001,15.533083333333332,0.12883333333333333,4.00925,0.13716666666666666,15.827333333333334,0.05908333333333333
2008,16,12,8,77,9,3,42,5,9.43175,0.07891666666666666,15.191749999999999,0.1035,3.724833333333333,0.12983333333333333,15.72125,0.05725
2009,18,14,19,81,17,1,34,2,9.50525,0.08591666666666666,15.266583333333335,0.10775,3.7969166666666663,0.12599999999999997,15.827166666666665,0.058916666666666666
2010,16,14,26,90,20,0,35,5,9.703083333333334,0.08341666666666665,15.449,0.10341666666666667,4.023916666666667,0.11566666666666665,15.895499999999998,0.05858333333333333
2011,16,19,12,74,12,0,31,4,9.516,0.08199999999999998,15.284833333333333,0.11433333333333333,3.827666666666666,0.13658333333333333,15.7695,0.059
2012,22,15,39,71,9,1,28,1,9.507333333333333,0.08341666666666668,15.332833333333333,0.10733333333333334,3.7561666666666667,0.14533333333333334,15.802333333333335,0.0615
2013,9,15,14,77,7,1,31,3,9.6065,0.09766666666666667,15.373833333333335,0.1155,3.9113333333333333,0.14983333333333335,15.854416666666667,0.06466666666666666
2014,18,16,15,57,10,0,26,5,9.570666666666666,0.09016666666666667,15.313583333333334,0.11166666666666668,3.8777500000000003,0.13899999999999998,15.912999999999998,0.06316666666666666
2015,23,14,10,82,13,1,46,4,9.831,0.09216666666666666,15.572666666666668,0.1065,4.148833333333333,0.14175000000000001,16.058583333333335,0.06083333333333333
